Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
28	303.00378	58.429462	456.52264	219.18654	180.68182	100.836296	28.66168	119.455894	14.78466	116000	1.1920929e-09	73.03252	-0.011660018	-28.01646	0.83366364	0.015730906	0.2365	8.0	316.7482359409332
29	289.26694	55.05771	402.5843	160.51678	183.90475	102.02386	31.536118	121.03383	-8.845698	120000	1.6570091e-08	307.323	-0.045685004	-167.641	0.83362955	0.008211679	0.2385	79.0	329.5655822753906
30	283.7345	79.27708	580.6182	186.13164	180.90909	93.09794	35.434265	120.23164	-11.880489	124000	-2.3841857e-09	269.7567	-0.010162083	-106.00409	0.83448553	0.016793754	0.2375	7.0	340.09197521209717
31	295.54184	55.456116	418.9786	213.25636	177.13637	100.53526	28.127588	120.713844	14.261312	128000	-1.3589859e-08	63.759113	-0.045275398	-24.517933	0.83352244	0.015003548	0.22525	62.0	351.84835147857666
32	274.0857	62.28154	493.1716	168.85237	158.24	100.9264	30.19068	121.09861	13.936781	132000	1.1920929e-08	54.389393	-0.0503483	-5.8243027	0.8232679	0.010836201	0.2435	79.0	364.5038402080536
33	272.37042	57.47647	476.95163	191.57895	155.84	99.72664	30.641685	121.13034	13.753236	136000	7.152557e-09	38.14114	-0.009788424	-5.941147	0.82327944	0.017795099	0.2195	6.0	374.7907907962799
34	286.85217	51.29497	422.22256	225.73367	166.56522	101.824844	29.736307	121.5596	13.432592	140000	-9.6559525e-09	38.14839	-0.009506811	-4.5120277	0.82226694	0.016151324	0.201	6.0	384.8163468837738
35	271.918	33.123386	395.35144	220.1966	151.8077	100.08623	31.841042	122.376724	13.417576	144000	1.525879e-08	27.146078	-0.03516835	-6.76202	0.8210774	0.015167208	0.2015	27.0	395.6703770160675
36	281.19025	35.147575	385.4101	225.03497	159.72	102.007515	30.783945	123.17419	13.205759	148000	-8.106232e-09	26.798285	-0.010325144	-3.5647144	0.816845	0.016092706	0.25375	6.0	406.1040394306183
37	281.13654	50.747875	460.08734	154.05789	168.82608	100.773705	33.22673	123.58518	-9.491868	152000	2.8848648e-08	241.65897	-0.009768408	-173.19455	0.8161376	0.01572062	0.26125	7.0	416.65328073501587
38	283.75674	32.17181	385.8302	237.36246	156.64	101.6765	32.75829	124.84123	13.850062	156000	7.152557e-09	61.348015	-0.050309222	-19.10598	0.8150257	0.0150419865	0.257	78.0	428.93699288368225
39	276.6571	25.898691	342.8335	234.53288	151.73077	103.44553	32.891487	126.388306	13.8070545	160000	-1.4305115e-09	53.655006	-0.011500839	-6.8681183	0.8070052	0.016763339	0.24025	6.0	439.7977659702301
40	294.1208	27.491686	346.2432	216.8707	160.91667	102.48575	33.25283	126.51098	13.4144535	164000	-3.1530856e-08	59.13123	-0.009613032	-27.374796	0.8064156	0.016527344	0.22925	5.0	450.1123802661896
41	282.53714	28.830982	353.9061	227.86337	152.84616	103.99266	34.526245	128.82684	13.666059	168000	4.708767e-09	51.84503	-0.0083297845	-8.180584	0.8054904	0.01545662	0.22675	5.0	460.4992275238037
42	298.2624	42.641056	376.26004	149.79732	172.26086	102.39473	36.881283	129.26637	-9.775461	172000	2.6226044e-09	200.6256	-0.008461267	-113.16191	0.8043879	0.016871246	0.25125	6.0	470.60640048980713
43	314.99277	33.707455	397.49414	271.39142	173.78261	104.29608	34.106625	131.00464	14.150453	176000	-1.1444092e-08	114.79994	-0.034881826	-46.474915	0.8030603	0.015026841	0.19525	32.0	481.98508954048157
44	337.7188	38.624855	415.01355	277.04526	186.57143	111.89982	32.76833	133.19688	13.9948635	180000	-4.053116e-09	78.38736	-0.03556351	-18.55751	0.7972433	0.015015307	0.1845	27.0	493.25153255462646
45	322.99683	52.092262	384.16965	115.14167	179.04546	105.62851	40.828945	135.99359	-10.438929	184000	-7.033348e-09	117.20582	-0.009309986	-44.418915	0.7884445	0.015717933	0.18575	5.0	503.58850264549255
46	338.31143	34.392704	460.6069	281.70212	177.68182	114.66108	35.037857	139.86182	15.000952	188000	7.629395e-09	70.83596	-0.04385222	-20.718029	0.7868819	0.015115145	0.2165	57.0	514.8883190155029
47	330.38556	30.067932	394.1772	261.05853	172.65218	116.42909	36.56027	142.34338	14.94588	192000	4.4107438e-09	65.31544	-0.010819017	-8.472351	0.7767347	0.017221201	0.1805	5.0	524.3147072792053
48	362.1999	27.293358	415.73047	321.84897	192.45	116.07641	36.831646	142.96185	14.663784	196000	-2.384186e-10	66.63033	-0.04792554	-24.72004	0.7763939	0.015123382	0.2385	61.0	535.5335667133331
49	372.9873	27.464424	419.775	316.95303	194.4	118.97242	36.24782	145.47104	14.89221	200000	1.1086464e-08	66.76247	-0.04064192	-28.325039	0.7682103	0.015091277	0.21375	38.0	547.1542689800262
