Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
27	5.848634	44.1274	88.330505	-52.448624	411.8889	-36.06821	0.013313747	-35.93732	-36.074238	112000	-3.0636787e-08	2180.045	-0.0072630043	-28.806885	1.1315678	0.011886123	0.09575	79.0	300.64618706703186
28	-2.5313888	65.3789	134.55356	-106.342865	399.5	-35.1901	0.022491002	-34.971478	-35.199192	116000	-6.0796737e-09	2808.288	-0.0061798603	-0.5678711	1.1034629	0.007870843	0.12	79.0	311.51958537101746
29	31.73626	89.22388	165.98438	-64.962944	473.75	-35.26546	0.035849053	-34.960075	-35.278824	120000	-2.169609e-08	4927.7285	-0.005739451	-92.89453	1.0768411	0.007979028	0.0345	79.0	321.84698009490967
30	44.464725	60.32414	137.38063	-35.924747	608.5	-33.67919	0.26437452	-30.87886	-33.726303	124000	1.3947487e-08	2579.5308	-0.00652868	-75.38281	1.0385642	0.01539076	0.12575	34.0	331.593026638031
31	158.59485	39.18933	217.8321	109.02231	880.25	-32.174747	0.45512372	-23.996382	-32.291294	128000	1.2338162e-08	4543.8086	-0.0054831062	-2530.199	1.0751085	0.007559978	0.157	79.0	342.8745563030243
32	78.666954	65.45314	151.8994	-21.314003	755.0	0.0105229495	21.67215	28.446426	-24.005718	132000	-4.23193e-09	2700.1062	-0.0060004625	-934.4164	1.0770708	0.011695436	0.04925	79.0	353.8144826889038
33	77.28081	52.76659	152.23384	8.169	712.4	3.311376	20.55155	27.869669	-24.588926	136000	8.3446505e-10	942.1187	-0.00796558	-256.14435	1.0211195	0.009546995	0.13	79.0	365.9976375102997
34	47.91753	51.473274	108.42527	-37.8885	654.5	-3.38648	21.26072	27.91758	-28.78753	140000	-6.6757204e-09	1579.1821	-0.007928918	-188.12012	1.0511885	0.0087953	0.09075	79.0	376.945677280426
35	-11.741577	76.09604	108.85055	-96.80085	605.5	-1.7602814	19.651905	26.895224	-27.837582	144000	-5.6922436e-09	3724.243	-0.008504266	-1070.136	1.0340368	0.009688653	0.08025	79.0	385.4976201057434
36	89.33033	31.618246	122.448006	37.194885	1000.0	-26.68974	4.1847363	-15.418232	-29.790379	148000	-6.556511e-09	1343.3962	-0.010453152	-889.86975	0.99869555	0.008319842	0.16175	79.0	396.99587416648865
